id,n24,rev24,revlast,elpsdm,ordfreq,ordcat
5927,10,83,12,15,3,5
5928,24,144,11,15,1,5
5929,1,15,15,15,1,6
5930,5,27,6,15,3,5
5931,14,112,6,15,2,5
5932,10,119,20,15,1,6
5933,9,185,30,15,4,7
5934,29,84.75,10,15,1,5
5935,13,86,10,15,2,5
5936,3,45,20,15,2,6
5937,11,58,4,15,4,4
5938,10,194,17,15,2,6
5939,4,67,20,15,1,6
5940,10,231,25,15,2,7
5941,21,91,10,15,1,5
5942,10,115,20,15,2,6
5943,3,34,22,15,1,6
5944,2,75,40,15,1,7
5945,12,117,10,15,1,5
5946,14,182,25,15,4,7
5947,8,55,5,15,4,5
5948,2,30,20,15,2,6
5949,5,100,20,15,1,6
5950,2,40,20,15,1,6
5951,10,85,15,15,1,6
5952,20,116,10,15,3,5
5953,7,92,15,15,1,6
5954,6,32,10,15,3,5
5955,7,55,15,15,2,6
5956,6,70,20,15,1,6
5957,11,124,17,15,2,6
5958,7,74,22,15,1,6
5959,2,30,20,15,1,6
5960,5,56,12,15,3,5
5961,5,95,25,15,1,7
5962,9,105,15,15,2,6
5963,1,25,25,15,1,7
5964,10,250,45,15,2,7
5965,5,64,22,15,1,6
5966,13,66,10,15,4,5
5967,2,26,16,15,1,6
5968,12,120,10,15,1,5
5969,36,147,10,15,4,5
5970,23,287,20,15,4,6
5971,12,218,21,15,3,7
5972,9,220,50,15,2,7
5973,8,66,11,15,3,5
5974,19,136,5,15,2,6
5975,12,106,10,15,2,5
5976,20,518,100,15,2,7
5977,2,55,25,15,2,7
5978,5,44,13,15,4,5
5979,18,112,10,15,2,5
5980,6,79,25,15,3,7
5981,6,45,10,15,3,5
5982,6,43,10,15,3,5
5983,5,42,15,15,1,6
5984,4,60,25,15,1,7
5985,8,56,10,15,4,5
5986,3,35,10,15,2,6
5987,15,176,25,15,3,7
5988,2,42,22,15,1,6
5989,11,297,35,15,1,7
5990,9,160,20,15,3,7
5991,15,139,10,15,1,5
5992,3,23,7,15,3,5
5993,12,170,20,15,1,6
5994,7,49,5,15,3,5
5995,24,455,30,15,1,7
5996,5,50,10,15,3,5
5997,12,85,10,15,3,5
5998,4,44,15,15,1,6
5999,13,128,10,15,1,5
6000,19,146,15,15,3,6
6001,2,30,25,15,1,7
6002,8,82,17,15,1,6
6003,5,51,15,15,1,6
6004,7,65,15,15,1,6
6005,18,185,15,15,1,6
6006,10,75,13,15,2,5
6007,4,36,10,15,3,5
6008,5,91,25,15,1,7
6009,15,156,10,15,4,5
6010,3,35,20,15,1,6
6011,5,82,22,15,1,6
6012,8,87,10,15,3,5
6013,30,153,7,15,4,4
6014,2,25,15,15,1,6
6015,3,40,20,15,2,6
6016,16,125,10,15,3,5
6017,11,47,5,15,4,4
6018,5,74,29,15,1,7
6019,16,108,10,15,2,5
6020,17,157,10,15,2,5
6021,15,77,8,15,2,5
6022,22,463,25,15,4,7
6023,13,129,16,15,4,6
6024,17,296,10,15,2,6
6025,9,117,20,15,1,6
6026,4,40,10,15,4,6
6027,3,50,10,15,3,7
6028,32,144,7,15,4,4
6029,2,20,15,15,1,6
6030,21,175,5,15,3,5
6031,20,172,10,15,1,5
6032,11,112,17,15,1,6
6033,2,28,20,15,1,6
6034,17,135,15,15,3,6
6035,4,32,10,15,3,5
6036,8,52,10,15,3,5
6037,9,99,20,15,1,6
6038,32,197,6,15,4,4
6039,19,508,25,15,3,7
6040,9,87,25,15,2,7
6041,20,119,10,15,3,5
6042,31,107,6,15,4,4
6043,6,170,45,15,1,7
6044,2,20,15,15,1,6
6045,8,107,20,15,1,6
6046,12,125,20,15,1,6
6047,1,15,15,15,1,6
6048,4,60,25,15,1,7
6049,10,130,25,15,2,7
6050,10,292,50,15,2,7
6051,9,80,20,15,2,6
6052,6,34,6,15,4,5
6053,21,200,12,15,4,5
6054,5,52,15,15,1,6
6055,3,44,20,15,2,6
6056,5,95,25,15,1,7
6057,5,39,10,15,3,5
6058,3,80,30,15,1,7
6059,4,31,10,15,3,5
6060,9,46,4,15,4,4
6061,7,95,15,15,2,6
6062,10,118,15,15,2,6
6063,14,178.5,20,15,1,6
6064,10,86,15,15,2,6
6065,25,449,25,15,3,7
6066,13,284.1,30,15,3,7
6067,4,31,5,15,3,5
6068,11,94,10,15,3,5
6069,3,42,20,15,1,6
6070,2,30,20,15,1,6
6071,7,62,15,15,1,6
6072,16,106,20,15,2,6
6073,2,30,20,15,2,6
6074,5,76,25,15,2,7
6075,9,69.25,20,15,1,6
6076,1,15,15,15,1,6
6077,6,35,10,15,4,5
6078,18,230,16,15,4,6
6079,17,146,10,15,1,5
6080,11,120,13,15,4,6
6081,2,30,20,15,1,6
6082,5,55,15,15,1,6
6083,12,96.5,10,15,3,5
6084,2,20,15,15,1,6
6085,6,168,10,15,3,7
6086,6,76,10,15,2,6
6087,6,125,20,15,4,6
6088,14,95,17,15,1,6
6089,21,168,35,15,1,7
6090,13,91,13,15,2,5
6091,7,54,10,15,4,5
6092,11,164,51,15,1,7
6093,5,58,12,15,3,6
6094,3,40,10,15,2,7
6095,4,71,19,15,1,6
6096,12,405,60,15,2,7
6097,3,30,15,15,2,6
6098,8,120,19,15,1,6
6099,3,60,25,15,1,7
6100,3,36,20,15,1,6
6101,7,79,17,15,2,6
6102,9,132,22,15,1,6
6103,11,78,11,15,2,5
6104,5,50,15,15,1,6
6105,11,160,50,15,1,7
6106,5,64,24,15,1,6
6107,12,137,15,15,2,6
6108,7,70,15,15,1,6
6109,16,90,5,15,3,5
6110,8,103,25,15,1,7
6111,16,148,15,15,1,6
6112,2,25,15,15,1,6
6113,6,56,15,15,1,6
6114,10,79,18,15,3,6
6115,6,80,15,15,1,6
6116,10,86,12,15,2,5
6117,5,72,20,15,1,6
6118,15,139,14,15,1,5
6119,11,132,20,15,1,6
6120,21,193,10,15,2,5
6121,8,240,50,15,2,7
6122,7,83,15,15,2,6
6123,3,19,6,15,3,5
6124,21,226,10,15,4,6
6125,11,122,12,15,3,6
6126,4,45,10,15,3,6
6127,11,276,25,15,3,7
6128,29,142,5,15,4,4
6129,5,82,20,15,2,6
6130,2,25,15,15,1,6
6131,13,162,5,15,4,6
6132,5,39,10,15,3,5
6133,15,241,20,15,3,6
6134,15,105,10,15,1,5
6135,15,157,12,15,1,5
6136,14,78,12,15,1,5
6137,19,155,10,15,1,5
6138,24,108,5,15,4,4
6139,12,137,12,15,1,5
6140,5,26,4,15,3,5
6141,12,110,15,15,1,6
6142,10,197,25,15,2,7
6143,3,86,31,15,1,7
6144,7,85,21,15,1,6
6145,6,70,17,15,1,6
6146,39,152,10,15,4,5
6147,6,138,29,15,2,7
6148,2,26,21,15,1,6
6149,27,138,5,15,3,4
6150,3,47,22,15,1,6
6151,2,92,72,15,1,7
6152,7,113,20,15,1,6
6153,7,49,10,15,3,5
6154,2,52,27,15,1,7
6155,5,52,15,15,2,6
6156,12,214,20,15,2,7
6157,5,66,25,15,1,7
6158,7,97,25,15,1,7
6159,21,111,5,15,4,4
6160,4,94,27,15,3,7
6161,10,113,17,15,1,6
6162,17,141,14,15,1,5
6163,8,69,13,15,3,5
6164,4,40,15,15,1,6
6165,11,90,10,15,3,5
6166,8,75,15,15,1,6
6167,8,102,15,15,1,6
6168,20,314,22,15,1,6
6169,3,60,25,15,1,7
6170,11,103,13,15,2,6
6171,3,25,15,15,2,6
6172,19,145,15,15,4,6
6173,8,120,20,15,3,6
6174,16,79,10,15,1,5
6175,5,37,9,15,4,4
6176,5,38,10,15,3,5
6177,3,27,7,15,3,6
6178,2,45,25,15,2,7
6179,2,32,17,15,1,6
6180,5,42,11,15,3,5
6181,25,115.75,8,15,4,5
6182,10,107,15,15,1,6
6183,16,91,10,15,1,5
6184,5,39,15,15,1,6
6185,25,188,12,15,2,5
6186,14,125,6,15,3,5
6187,17,101,10,15,1,5
6188,26,190,10,15,4,5
6189,7,61,25,15,1,7
6190,5,39,15,15,1,6
6191,5,55,15,15,3,6
6192,3,45,20,15,1,6
6193,11,51,5,15,4,4
6194,13,88,10,15,2,5
6195,7,64,12,15,3,5
6196,6,40,15,15,1,6
6197,6,39,7,15,3,5
6198,21,184,12,14,2,5
6199,6,66,15,14,2,6
6200,17,47,2,14,4,4
6201,9,82,15,14,1,6
6202,15,66,10,14,4,5
6203,2,20,15,14,1,6
6204,25,319,250,14,1,7
6205,29,128.5,3,14,4,4
6206,9,95,17,14,1,6
6207,15,195,15,14,2,6
6208,15,124,10,14,3,5
6209,16,98,6,14,4,4
6210,1,20,20,14,1,6
6211,12,171,21,14,2,6
6212,12,117,13,14,4,5
6213,4,30,10,14,3,5
6214,22,168,12,14,1,5
6215,22,145,9,14,4,4
6216,1,15,15,14,1,6
6217,1,15,15,14,1,6
6218,4,35,5,14,3,5
6219,8,118,17,14,4,6
6220,14,81,9,14,4,5
6221,12,97,10,14,4,6
6222,6,127,20,14,1,6
6223,1,15,15,14,1,6
6224,9,89,10,14,3,5
6225,6,54,6,14,3,5
6226,3,42,17,14,2,6
6227,4,50,5,14,2,6
6228,1,15,15,14,1,6
6229,7,72,10,14,3,6
6230,19,196,10,14,3,5
6231,16,100,8,14,3,4
6232,3,32,17,14,1,6
6233,18,96,5,14,4,4
6234,19,87.25,7,14,3,4
6235,1,18,18,14,1,6
6236,4,44,20,14,1,6
6237,8,75,12,14,3,5
6238,55,1174,25,14,4,7
6239,11,115,20,14,2,7
6240,29,76.5,2,14,4,4
6241,9,60,8,14,4,4
6242,3,29,15,14,2,6
6243,38,145,5,14,4,4
6244,4,70,30,14,2,7
6245,5,49,12,14,3,5
6246,13,111,10,14,4,5
6247,7,51,10,14,3,5
6248,8,87,25,14,1,7
6249,14,1190,100,14,1,7
6250,31,132,5,14,4,4
6251,8,80,12,14,4,5
6252,13,157,14,14,4,5
6253,3,42,20,14,1,6
6254,11,62,11,14,2,5
6255,1,15,15,14,1,6
6256,22,166.45,11,14,2,5
6257,7,88,20,14,3,6
6258,29,251,10,14,2,5
6259,3,42,20,14,2,6
6260,1,20,20,14,1,6
6261,1,15,15,14,1,6
6262,24,66,5,14,4,4
6263,4,46,20,14,1,6
6264,43,165,6,14,4,6
6265,9,31,5,14,4,4
6266,1,15,15,14,1,6
6267,11,120,17,14,1,6
6268,20,109,9,14,4,5
6269,7,67,17,14,3,6
6270,4,104,20,14,1,6
6271,1,25,25,14,1,7
6272,17,272,10,14,1,5
6273,7,50,10,14,4,5
6274,4,42,5,14,3,6
6275,24,72,5,14,3,4
6276,19,88,5,14,3,4
6277,3,31,15,14,2,6
6278,19,113,11,14,1,5
6279,3,45,20,14,2,6
6280,6,83,21,14,1,6
6281,2,35,20,14,1,6
6282,7,157,100,14,3,7
6283,1,15,15,14,1,6
6284,6,54,15,14,2,6
6285,1,15,15,14,1,6
6286,5,29,7,14,4,4
6287,22,99,6,14,3,4
6288,19,114,11,14,2,5
6289,1,20,20,14,1,6
6290,6,68,15,14,1,6
6291,8,77.25,18,14,1,6
6292,3,40,20,14,2,6
6293,2,40,20,14,2,6
6294,5,42,15,14,1,6
6295,1,20,20,14,1,6
6296,8,156,26,14,1,7
6297,37,90,5,14,4,4
6298,8,88,12,14,2,5
6299,22,121.5,20,14,2,6
6300,13,163,17,14,2,6
6301,3,75,50,14,2,7
6302,1,20,20,14,1,6
6303,18,140,11,14,2,5
6304,32,159,4,14,4,4
6305,20,211,15,14,2,6
6306,4,42,12,14,3,6
6307,1,15,15,14,1,6
6308,22,208,6,14,4,6
6309,26,111,5,14,3,4
6310,9,135,20,14,1,6
6311,42,352,15,14,4,6
6312,2,170,150,14,1,7
6313,6,27,6,14,4,4
6314,3,47,17,14,2,6
6315,5,63,15,14,1,6
6316,2,35,25,14,1,7
6317,28,187,10,14,4,5
6318,11,190,20,14,1,6
6319,6,91,15,14,1,6
6320,3,65,35,14,1,7
6321,6,87,17,14,2,6
6322,4,48,17,14,2,6
6323,10,48,5,14,4,4
6324,14,72,5,14,3,4
6325,15,194,10,14,4,7
6326,6,79,15,14,2,6
6327,27,630,25,14,4,7
6328,2,25,20,14,1,6
6329,11,148,13,14,2,5
6330,13,147,14,14,2,5
6331,6,62,16,14,1,6
6332,4,40,11,14,2,6
6333,2,30,20,14,1,6
6334,5,50,5,14,4,6
6335,6,28,5,14,4,4
6336,6,90,50,14,1,7
6337,7,53,10,14,4,5
6338,15,77,7,14,3,4
6339,5,51,15,14,1,6
6340,14,43,5,14,4,4
6341,11,92,20,14,4,6
6342,26,249,14,14,3,5
6343,5,50,10,14,4,6
6344,9,263,50,14,1,7
6345,5,48,10,14,4,5
6346,2,30,15,14,2,6
6347,1,30,30,14,1,7
6348,1,20,20,14,1,6
6349,1,25,25,14,1,7
6350,7,110,20,14,1,6
6351,3,40,25,14,1,7
6352,49,369,20,14,4,6
6353,40,181,6,14,4,4
6354,14,155,20,14,1,6
6355,4,72,20,14,1,6
6356,2,26,21,14,2,6
6357,3,44,20,14,1,6
6358,18,145,14,14,4,6
6359,17,113,10,14,1,5
6360,4,42,15,14,1,6
6361,6,106,25,14,2,7
6362,6,35,5,14,4,4
6363,6,43,10,14,3,5
6364,16,85,8,14,3,4
6365,1,20,20,14,1,6
6366,3,73,29,14,1,7
6367,2,36,26,14,2,7
6368,13,91,22,14,1,6
6369,1,15,15,14,1,6
6370,1,25,25,14,1,7
6371,16,120,12,14,2,5
6372,8,269,50,14,1,7
6373,19,445,25,14,1,7
6374,8,57,15,14,2,6
6375,8,93,25,14,1,7
6376,8,74,25,14,1,7
6377,23,246,10,14,3,5
6378,4,50,25,14,1,7
6379,1,20,20,14,1,6
6380,11,97,10,14,4,5
6381,7,123,27,14,1,7
6382,5,63,19,14,1,6
6383,4,39,16,14,2,6
6384,8,80,16,14,2,6
6385,24,229,15,14,4,6
6386,2,30,20,14,2,6
6387,3,55,25,14,1,7
6388,4,38,15,14,1,6
6389,25,178,10,14,4,5
6390,15,120,10,14,4,5
6391,8,47,10,14,4,5
6392,22,166,5,14,4,5
6393,3,77,27,14,2,7
6394,10,120,20,14,1,6
6395,2,45,25,14,1,7
6396,5,80,30,14,2,7
6397,2,30,20,14,2,6
6398,14,74,5,14,3,4
6399,4,49.5,17,14,1,6
6400,1,20,20,14,1,6
6401,30,122,2,14,4,4
6402,7,69,15,14,3,6
6403,15,145,10,14,1,5
6404,1,25,25,14,1,7
6405,1,20,20,14,1,6
6406,17,142,5,14,3,5
6407,34,143,5,14,3,4
6408,2,20,15,14,2,6
6409,5,55,20,14,1,6
6410,5,64,25,14,1,7
6411,9,61,10,14,3,5
6412,7,62,5,14,2,6
6413,16,115,10,14,4,5
6414,10,87,15,14,2,6
6415,12,127,16,14,1,6
6416,18,112,12,14,1,5
6417,1,15,15,14,1,6
6418,11,133,15,14,1,6
6419,21,107,5,14,4,4
6420,1,25,25,14,1,7
6421,44,376.25,9,14,4,5
6422,5,80,20,14,1,6
6423,21,156,5,14,2,5
6424,13,74,12,14,2,5
6425,3,30,15,14,1,6
6426,23,145,25,14,1,7
6427,1,15,15,14,1,6
6428,1,15,15,14,1,6
6429,1,25,25,14,1,7
6430,8,75,15,14,1,6
6431,15,91.5,11,14,2,5
6432,15,120,12,14,1,5
6433,4,47,20,14,3,6
6434,1,25,25,14,1,7
6435,3,26,10,14,3,5
6436,7,47,15,14,1,6
6437,23,294,20,14,2,6
6438,8,117,30,14,2,7
6439,5,55,15,14,1,6
6440,1,15,15,13,1,6
6441,12,104,14,13,4,5
6442,8,49,5,13,3,5
6443,1,15,15,13,1,6
6444,14,63,6,13,4,4
6445,7,170,25,13,2,7
6446,1,25,25,13,1,7
6447,1,15,15,13,1,6
6448,28,182,5,13,4,4
6449,12,83,9,13,4,4
6450,5,73,17,13,3,6
6451,13,74,5,13,3,4
6452,1,20,20,13,1,6
6453,8,90,24,13,1,6
6454,12,120,15,13,1,6
6455,14,141,17,13,2,6
6456,1,15,15,13,1,6
6457,6,46,15,13,1,6
6458,11,103,10,13,3,5
6459,11,76,10,13,4,5
6460,8,77,15,13,2,6
6461,3,31,15,13,2,6
6462,12,86,11,13,4,5
6463,6,95,25,13,2,7
6464,1,18,18,13,1,6
6465,4,39,11,13,3,5
6466,14,160,17,13,2,6
6467,5,32,10,13,3,5
6468,12,107,12,13,2,5
6469,5,38,10,13,4,5
6470,41,123,5,13,4,4
6471,10,72,15,13,3,6
6472,5,60,20,13,3,6
6473,16,147,12,13,4,5
6474,5,27,7,13,4,4
6475,19,95,7,13,3,4
6476,14,74,6,13,4,4
6477,10,68,10,13,3,5
6478,10,95,12,13,2,5
6479,8,39,5,13,4,4
6480,14,222,15,13,2,6
6481,1,25,25,13,1,7
6482,12,126,10,13,2,5
6483,9,121,16,13,2,6
6484,7,78,10,13,2,6
6485,19,190,10,13,2,5
6486,19,361,15,13,3,6
6487,1,15,15,13,1,6
6488,17,166,20,13,3,6
6489,23,73,3,13,3,4
6490,6,87,20,13,1,6
6491,7,115,20,13,2,6
6492,13,120,9,13,3,5
6493,8,67,10,13,3,6
6494,6,33,7,13,4,4
6495,3,55,10,13,3,7
6496,6,51,20,13,1,6
6497,9,154,30,13,1,7
6498,5,111,26,13,3,7
6499,7,91,17,13,2,6
6500,1,15,15,13,1,6
6501,1,15,15,13,1,6
6502,2,25,15,13,2,6
6503,7,66,20,13,1,6
6504,2,25,15,13,2,6
6505,8,158,20,13,3,6
6506,4,35,10,13,3,5
6507,20,215,20,13,3,6
6508,2,25,20,13,1,6
6509,1,25,25,13,1,7
6510,5,61,13,13,3,5
6511,9,85,15,13,2,6
6512,2,50,25,13,2,7
6513,11,149,25,13,3,7
6514,15,132,9,13,4,5
6515,1,20,20,13,1,6
6516,10,95,15,13,1,6
6517,8,56,10,13,3,5
6518,1,20,20,13,1,6
6519,5,29,6,13,3,5
6520,16,152,11,13,1,5
6521,6,67,15,13,2,6
6522,5,32,8,13,4,4
6523,4,65,20,13,1,6
6524,28,81,5,13,3,5
6525,1,23,23,13,1,6
6526,14,80,5,13,4,5
6527,8,86,20,13,1,6
6528,11,69,10,13,4,5
6529,7,455,25,13,1,7
6530,11,57,7,13,4,4
6531,2,50,25,13,2,7
6532,5,45,5,13,3,5
6533,5,75,20,13,1,6
6534,12,108,11,13,4,5
6535,17,91,10,13,2,5
6536,15,158,12,13,3,5
6537,4,34,11,13,3,5
6538,1,30,30,13,1,7
6539,1,15,15,13,1,6
6540,4,40,10,13,3,5
6541,15,121,10,13,2,5
6542,1,15,15,13,1,6
6543,13,83,13,13,2,5
6544,2,20,15,13,2,6
6545,8,108,20,13,3,6
6546,4,40,10,13,1,6
6547,32,387,12,13,1,5
6548,13,122,10,13,2,6
6549,1,20,20,13,1,6
6550,1,20,20,13,1,6
6551,20,442,35,13,2,7
6552,12,61,10,13,2,5
6553,29,103,5,13,3,4
6554,12,350,50,13,1,7
6555,1,25,25,13,1,7
6556,36,347,10,13,3,5
6557,10,92,10,13,4,6
6558,4,66,19,13,2,6
6559,4,44,12,13,3,5
6560,8,42,8,13,4,4
6561,18,88,7,13,3,4
6562,1,25,25,13,1,7
6563,27,385,16,13,2,7
6564,5,37,10,13,4,5
6565,1,24,24,13,1,6
6566,8,118,18,13,2,6
6567,6,85,20,13,4,6
6568,4,24,10,13,4,5
6569,8,117,30,13,2,7
6570,11,89,13,13,2,5
6571,1,15,15,13,1,6
6572,1,15,15,13,1,6
6573,7,58,10,13,3,5
6574,5,67,19,13,1,6
6575,12,164,15,13,2,6
6576,11,74,10,13,4,5
6577,3,155,100,13,1,7
6578,22,55,2,13,4,4
6579,16,94,11,13,1,5
6580,10,92,12,13,3,5
6581,1,20,20,13,1,6
6582,1,100,100,13,1,7
6583,5,31,7,13,3,5
6584,1,25,25,13,1,7
6585,13,108,10,13,2,5
6586,10,78,25,13,1,7
6587,5,72,18,13,2,6
6588,1,18,18,13,1,6
6589,13,57,4,13,4,4
6590,4,30,9,13,3,5
6591,6,85,15,13,2,6
6592,12,118,10,13,1,5
6593,22,74,5,13,3,4
6594,1,20,20,13,1,6
6595,14,100,11,13,2,5
6596,12,124,10,13,2,5
6597,1,20,20,13,1,6
6598,1,25,25,13,1,7
6599,7,36,10,13,4,5
6600,10,66,12,13,2,5
6601,8,101,20,13,2,6
6602,13,222,25,13,1,7
6603,1,42,42,13,1,7
6604,2,100,50,13,2,7
6605,8,160,23,13,1,6
6606,10,138,15,13,2,6
6607,16,110,7,13,3,4
6608,1,15,15,13,1,6
6609,15,131,10,13,2,5
6610,30,236,12,13,3,5
6611,21,74,5,13,4,4
6612,3,90,25,13,2,7
6613,4,57,15,13,2,6
6614,8,59,10,13,4,5
6615,11,122,15,13,4,6
6616,14,102,5,13,3,4
6617,4,115,30,13,3,7
6618,1,20,20,13,1,6
6619,12,133,20,13,1,6
6620,3,30,20,13,2,6
6621,15,182,15,13,3,6
6622,2,30,20,13,2,6
6623,8,56,12,13,3,5
6624,11,254,10,13,3,7
6625,4,42,20,13,3,6
6626,2,33,18,13,1,6
6627,1,15,15,13,1,6
6628,21,161,10,13,4,5
6629,7,30,4,13,4,4
6630,2,30,15,13,1,6
6631,10,117,14,13,1,5
6632,15,81,5,13,3,4
6633,11,51,12,13,2,5
6634,3,27,15,13,1,6
6635,2,25,15,13,2,6
6636,1,15,15,13,1,6
6637,12,105,10,13,2,6
6638,3,22,7,13,3,5
6639,1,15,15,13,1,6
6640,6,107,20,13,3,7
6641,4,40,10,13,3,5
6642,13,89,6,13,4,5
6643,20,160,10,13,3,5
6644,11,44,5,13,4,4
6645,9,88,10,13,2,6
6646,12,143,11,13,3,5
6647,1,25,25,13,1,7
6648,7,77,15,13,4,6
6649,19,320,20,13,4,7
6650,1,25,25,13,1,7
6651,1,15,15,13,1,6
6652,1,20,20,13,1,6
6653,3,55,25,13,2,7
6654,2,35,25,13,2,7
6655,1,15,15,13,1,6
6656,8,53,15,13,2,6
6657,13,59,10,13,4,5
6658,11,60,5,13,4,5
6659,1,15,15,13,1,6
6660,4,50,10,13,3,6
6661,1,15,15,13,1,6
6662,1,25,25,13,1,7
6663,2,30,20,13,2,6
6664,9,119,18,13,1,6
6665,20,140,10,13,2,5
6666,7,46,10,13,4,5
6667,1,15,15,13,1,6
6668,1,15,15,13,1,6
6669,11,114,10,12,3,6
6670,6,42,10,12,4,5
6671,17,152,12,12,3,5
6672,5,48,6,12,4,5
6673,27,281,40,12,4,7
6674,4,41,16,12,2,6
6675,11,181,18,12,4,7
6676,4,32,7,12,3,5
6677,18,391,6,12,4,7
6678,4,49,15,12,1,6
6679,14,133,14,12,2,5
6680,9,101,15,12,2,6
6681,1,25,25,12,1,7
6682,7,69,16,12,4,6
6683,13,116,6,12,4,5
6684,2,50,35,12,1,7
6685,8,75,15,12,1,6
6686,15,83,9,12,4,5
6687,22,94,6,12,4,4
6688,6,31,5,12,4,4
6689,21,214,16,12,1,6
6690,3,105,30,12,1,7
6691,9,140,30,12,2,7
6692,44,258,4,12,4,4
6693,2,29,6,12,2,6
6694,27,100,3,12,3,4
6695,27,259,27,12,3,7
6696,7,377,100,12,3,7
6697,14,71,5,12,3,4
6698,12,71,6,12,4,4
6699,14,82,5,12,3,4
6700,14,115,11,12,4,5
6701,10,94,12,12,2,5
6702,18,98,10,12,2,5
6703,12,77,10,12,2,5
6704,4,48,13,12,3,6
6705,3,60,10,12,3,7
6706,37,157,6,12,4,4
6707,3,30,15,12,1,6
6708,21,69,3,12,4,4
6709,6,115,20,12,4,7
6710,7,45,5,12,3,5
6711,4,27,7,12,3,5
6712,7,60,10,12,4,5
6713,4,40,10,12,3,5
6714,6,66,16,12,3,6
6715,20,113,5,12,3,4
6716,17,189,16,12,2,6
6717,2,26,6,12,2,6
6718,8,54,10,12,3,5
6719,3,37,15,12,3,6
6720,3,46,10,12,2,6
6721,16,71,5,12,3,4
6722,5,45,10,12,4,5
6723,20,82,3,12,4,4
6724,12,133,20,12,3,6
6725,7,58,5,12,4,5
6726,2,25,20,12,1,6
6727,8,94,17,12,2,6
6728,22,120,3,12,4,5
6729,3,83,50,12,1,7
6730,1,15,15,12,1,6
6731,9,108,20,12,1,6
6732,8,59,8,12,4,4
6733,5,29,7,12,4,4
6734,5,58,10,12,4,6
6735,7,54,10,12,3,5
6736,8,52,11,12,4,5
6737,5,90,25,12,2,7
6738,3,30,10,12,3,5
6739,15,71,4,12,4,4
6740,33,328,20,12,3,7
6741,5,56,14,12,3,5
6742,2,30,20,12,2,6
6743,15,162,25,12,3,7
6744,7,49,8,12,4,4
6745,13,102,10,12,2,5
6746,4,23,5,12,3,5
6747,12,54.25,10,12,2,5
6748,32,232,10,12,4,5
6749,1,50,50,12,1,7
6750,3,30,10,12,3,5
6751,6,42,5,12,4,5
6752,2,26,16,12,1,6
6753,13,85,10,12,2,5
6754,2,50,25,12,1,7
6755,20,162,6,12,1,5
6756,5,100,25,12,2,7
6757,7,70,4,12,4,5
6758,12,63,8,12,3,4
6759,3,22,6,12,3,5
6760,11,214,10,12,1,5
6761,21,85,14,12,4,5
6762,6,29,5,12,4,4
6763,2,40,30,12,1,7
6764,19,120,20,12,1,6
6765,24,88,5,12,4,4
6766,1,25,25,12,1,7
6767,3,44,18,12,1,6
6768,8,69.5,10,12,4,6
6769,2,23,20,12,1,6
6770,4,35,10,12,3,5
6771,3,20,10,12,3,5
6772,20,99,5,12,3,4
6773,7,58,9,12,3,5
6774,5,43,15,12,1,6
6775,8,94,20,12,4,6
6776,1,50,50,12,1,7
6777,9,62,10,12,3,5
6778,41,161,4,12,4,4
6779,3,22,11,12,3,5
6780,5,65,10,12,1,7
6781,13,158,20,12,3,6
6782,8,98,20,12,4,6
6783,20,90,5,12,3,4
6784,3,22,10,12,3,5
6785,11,138,15,12,1,6
6786,30,454,10,12,1,5
6787,7,70,15,12,1,6
6788,6,47,10,12,3,5
6789,7,34,3,12,4,4
6790,11,68,7,12,4,4
6791,4,31,8,12,3,5
6792,4,46,25,12,1,7
6793,12,426,75,12,2,7
6794,8,63,10,12,4,5
6795,11,92,11,12,3,5
6796,5,44,20,12,1,6
6797,16,132,13,12,1,5
6798,3,22,6,12,3,5
6799,35,349,25,12,4,7
6800,3,22,10,12,3,5
6801,2,20,15,12,1,6
6802,14,106,7,12,2,6
6803,12,123,12,12,2,5
6804,3,25,10,12,3,5
6805,6,53,10,12,4,5
6806,8,28,3,12,4,4
6807,6,125,25,12,1,7
6808,8,120,10,12,2,5
6809,16,196,15,12,2,6
6810,6,92,20,12,4,7
6811,1,25,25,12,1,7
6812,4,37,15,12,2,6
6813,6,51,20,12,2,6
6814,18,142,10,12,2,5
6815,6,82,20,12,1,6
6816,8,95,20,12,2,7
6817,18,93,12,12,1,5
6818,13,155,10,12,1,5
6819,3,30,15,12,1,6
6820,36,462,6,12,4,5
6821,8,77,15,12,3,6
6822,18,99,8,12,3,4
6823,6,112,25,12,1,7
6824,2,26,16,12,1,6
6825,29,63,1,12,4,4
6826,31,140.04,5,12,3,4
6827,12,117.5,15,12,1,6
6828,6,56,17,12,1,6
6829,10,86,10,12,3,5
6830,3,22,11,12,3,5
6831,12,100,10,12,3,5
6832,14,143,10,12,1,5
6833,1,50,50,12,1,7
6834,20,124,6,12,3,5
6835,15,86,15,12,2,6
6836,1,20,20,12,1,6
6837,5,33,7,12,3,5
6838,7,65,20,12,1,6
6839,7,41,11,12,4,5
6840,2,250,50,12,2,7
6841,2,30,20,12,2,6
6842,10,103,16,12,2,6
6843,24,101,4,12,4,4
6844,21,158,8,12,4,5
6845,13,103,15,12,1,6
6846,10,56.37,5,12,4,4
6847,6,23,5,12,4,4
6848,1,15,15,12,1,6
6849,5,31,7,12,4,4
6850,37,309,5,12,3,5
6851,3,42,20,12,2,6
6852,8,53,8,12,4,4
6853,1,20,20,12,1,6
6854,7,44,5,12,4,5
